,,"CARTER
CR
TO
OVERTHRUST","OVERTHRUST
TO
WIC","GRANGER
TO
OVERTHRUST","KANDA/COL
QPC
-
REC","QPC
WHITNEY
CANYON","QPC
TO
X016
-
DEL","CLEAR
CREEK
ST
-
DEL","QPC
GRANGER
TO
OVERTHRUST","OTPL
/
KRGT
PAINTER","HAMS
FORK
MS","ROBERSON
CREEK","OTPL
TO
QPC
EAKIN","OPAL
PROCESSING
PLT","PIONEER
PROCSSNG
PLT","WAMSUTTER
M&R","BLACKSFORK
@
OVERTHRUST","TOPAZ
RIDGE","WIC
WAMSUTTER
-
REC","ARROWHEAD
SPRINGS
-
DEL","QPC
JL95
INTERCONNECT","BELLE
BUTTE
STORAGE
-
DEL","OVERTHRUST
TO
NWP","IMBALANCE
MAP
-
DEL"
,,10002,10003,10004,10005,10006,10008,10010,10014,10015,10017,10018,10022,10025,10026,10027,10029,10030,10031,10033,10443,10832,10868,19998
10002,CARTER CR TO OVERTHRUST,0.00000,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00140,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10004,GRANGER TO OVERTHRUST,0.00140,0.00140,0.00000,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00140,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10005,KANDA/COL QPC - REC,0.00140,0.00140,0.00140,0.00000,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00140,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10006,QPC WHITNEY CANYON,0.00140,0.00140,0.00140,0.00140,0.00000,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00140,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10008,QPC TO X016 DEL,0.00140,0.00140,0.00140,0.00140,0.00140,0.00000,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00140,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10009,CLEAR CREEK ST - REC,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00140,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10013,WIC TO OVERTHRUST,0.00340,0.00140,0.00340,0.00340,0.00340,0.00340,0.00340,0.00340,0.00340,0.00340,0.00340,0.00340,0.00340,0.00340,0.00330,0.00340,0.00340,0.00330,0.00340,0.00340,0.00340,0.00340,0.00140
10014,QPC GRANGER TO OVERTHRUST,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00000,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00140,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10015,OTPL / KRGT PAINTER,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00000,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00140,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10017,HAMS FORK MS,0.00650,0.00650,0.00650,0.00650,0.00650,0.00650,0.00650,0.00650,0.00650,0.00000,0.00650,0.00650,0.00140,0.00140,0.00840,0.00650,0.00650,0.00840,0.00850,0.00650,0.00650,0.00650,0.00140
10020,QPC OFF-SYS NAUGHTON,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00140,0.00000,0.00000,0.00000
10021,EAKIN TO OTPL,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00140,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10023,QPC OFF-SYS KEMMERER,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00140,0.00000,0.00000,0.00000
10025,OPAL PROCESSING PLT,0.00650,0.00650,0.00650,0.00650,0.00650,0.00650,0.00650,0.00650,0.00650,0.00140,0.00650,0.00650,0.00000,0.00140,0.00840,0.00650,0.00650,0.00840,0.00850,0.00650,0.00650,0.00650,0.00140
10026,PIONEER PROCSSNG PLT,0.00650,0.00650,0.00650,0.00650,0.00650,0.00650,0.00650,0.00650,0.00650,0.00140,0.00650,0.00650,0.00140,0.00000,0.00840,0.00650,0.00650,0.00840,0.00850,0.00650,0.00650,0.00650,0.00140
10029,BLACKSFORK @ OVERTHRUST,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00000,0.00140,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10030,TOPAZ RIDGE,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00000,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10031,WIC WAMSUTTER -REC,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00140,0.00130,0.00130,0.00000,0.00130,0.00130,0.00130,0.00130,0.00140
10032,BELLE BUTTE STORAGE - REC,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00140,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10818,ROBERSON CREEK - REC,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00140,0.00330,0.00340,0.00140,0.00140,0.00140,0.00140
10827,WAMSUTTER - REC,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00130,0.00140,0.00130,0.00130,0.00140,0.00130,0.00130,0.00130,0.00130,0.00140
10868,OVERTHRUST TO NWP,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00140,0.00330,0.00140,0.00140,0.00330,0.00340,0.00140,0.00140,0.00000,0.00140
19996,IMBALANCE MAP - REC,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
